country,region,un_region,year,gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,income_difference_top-mid60,comm_import_capita,comm_export_capita
Afghanistan,South Asia,South Asia,2010,1771.2,2.5,2.0,3.0,2.0,2.6,3.0,4.51116,53.24683,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,182.8417821605019,13.78106261754305
Albania,Europe,Europe & Central Asia,2005,5865.29,3.5,4.0,3.5,3.0,3.4,4.5,3.23872,76.88706,12.9,17.0,22.5,39.2,24.3,52.4,-28.1,868.1249535528461,218.5741366308405
Angola,Central Africa,Africa Western and Central,2010,6586.47,2.0,3.5,2.5,2.5,2.8,4.0,3.43897,28.78131,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,776.541912675319,2251.8275198129104
Argentina,Latin America,Latin America & Caribbean,2005,13513.67,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,3.47405,94.00599,8.4,13.7,22.1,52.0,34.9,44.2,-9.300000000000004,734.2787248364182,1026.5132277674145
Argentina,Latin America,Latin America & Caribbean,2006,14896.73,3.722222222,4.0,3.611111111,3.444444444,3.5875,4.111111111111111,3.65499,93.34507,8.7,14.2,22.5,50.6,33.7,45.4,-11.699999999999996,865.1536505786645,1179.07641825332
Argentina,Latin America,Latin America & Caribbean,2007,16510.45,3.777777778,3.833333333,3.666666667,3.444444444,3.5625,4.277777777777778,3.89634,93.70675,8.7,14.2,22.4,50.6,33.7,45.3,-11.599999999999994,1121.1484943453988,1398.821962252036
Argentina,Latin America,Latin America & Caribbean,2008,17336.93,3.666666667,3.833333333,3.666666667,3.444444444,3.611111111,4.277777777777778,4.33781,95.24628,9.1,14.5,22.7,49.4,32.4,46.3,-13.9,1426.779161692068,1738.57209170068
Argentina,Latin America,Latin America & Caribbean,2009,16249.73,3.611111111,3.777777778,3.611111111,3.5,3.566666667,4.277777777777778,4.88998,98.83082,9.4,15.0,23.0,48.3,31.2,47.4,-16.2,953.3438098464328,1368.3919005883788
Argentina,Latin America,Latin America & Caribbean,2010,18063.91,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,4.60637,101.80112,9.4,14.9,22.6,48.6,31.7,46.900000000000006,-15.200000000000006,1392.3641136132326,1671.4153532373489
Argentina,Latin America,Latin America & Caribbean,2011,19322.23,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,4.98631,103.59968,9.6,15.0,22.7,47.8,31.0,47.3,-16.299999999999997,1792.4863135092794,2011.102635459844
Argentina,Latin America,Latin America & Caribbean,2012,19641.35,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,5.09904,105.19255,9.9,15.4,23.2,46.5,29.7,48.5,-18.8,1628.771727310807,1916.5135553836649
Argentina,Latin America,Latin America & Caribbean,2013,20131.68,3.444444444,3.555555556,3.611111111,3.5,3.533333333,4.222222222222222,5.3441,106.32314,10.0,15.6,23.3,46.1,29.4,48.900000000000006,-19.500000000000007,1763.8997210975967,1799.9454625845335
Armenia,Europe,Europe & Central Asia,2005,5339.9,4.0,4.5,4.5,2.5,4.2,4.5,2.71203,91.05856,11.8,15.2,20.2,44.7,30.8,47.2,-16.400000000000002,555.1051956422291,307.4833259277393
Armenia,Europe,Europe & Central Asia,2006,6274.03,4.0,4.5,4.5,3.5,4.2,4.5,2.71577,93.88583,13.1,17.0,22.1,38.8,24.5,52.2,-27.700000000000003,725.051485121689,331.72501210975366
Armenia,Europe,Europe & Central Asia,2007,7380.23,4.0,4.5,4.5,3.5,4.2,4.5,3.01894,94.87297,12.8,16.7,22.1,40.0,25.1,51.6,-26.5,1016.0340364925628,373.1943404208437
Armenia,Europe,Europe & Central Asia,2008,8097.31,4.0,4.5,4.5,3.0,4.1,4.5,3.17273,92.70561,13.1,17.0,22.4,38.4,23.7,52.5,-28.8,1374.6692156420431,353.6251652046426
Armenia,Europe,Europe & Central Asia,2009,7045.33,4.0,4.5,4.5,3.0,4.1,4.5,3.84079,96.63288,13.5,17.2,22.4,37.5,22.9,53.1,-30.2,1070.956216585658,230.74260262807763
Armenia,Europe,Europe & Central Asia,2010,7331.39,4.0,4.5,4.5,3.0,4.1,4.5,3.249,96.59815,13.0,16.8,21.7,39.4,25.0,51.5,-26.5,1283.5679974802235,343.28722465824
Australia,Pacific,East Asia & Pacific,2005,33018.16,3.181818182,3.318181818,3.5,2.863636364,3.14,3.727272727272727,4.91266,148.36611,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,6206.185926897189,5254.094777409193
Australia,Pacific,East Asia & Pacific,2008,37517.85,3.045454545,3.363636364,3.409090909,3.0,3.181818182,3.8181818181818175,4.63529,128.03405,11.6,15.9,22.5,42.7,27.4,50.0,-22.6,9441.168794644918,8793.414452375358
Australia,Pacific,East Asia & Pacific,2010,39363.62,3.045454545,3.363636364,3.727272727,3.0,3.263636364,3.954545454545455,5.56894,132.4567,11.8,16.1,22.7,42.0,26.5,50.6,-24.1,9155.120847277223,9627.411635299057
Azerbaijan,Europe,Europe & Central Asia,2005,6740.42,3.5,4.0,3.5,2.5,3.4,4.0,2.97462,96.59815,13.9,16.6,20.9,37.8,24.2,51.4,-27.2,501.82108962862776,518.0206041576052
Azerbaijan,Europe,Europe & Central Asia,2010,14678.77,4.0,4.0,4.0,2.5,3.8,3.5,2.78062,98.80386,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,728.5790675667736,2350.081704536569
Bangladesh,South Asia,South Asia,2005,2074.01,3.5,4.0,3.5,2.5,3.6,3.0,4.81376,45.51679,12.2,15.6,20.9,42.5,28.0,48.7,-20.7,89.63376725954721,66.22249554138492
Bangladesh,South Asia,South Asia,2010,2906.05,3.5,4.0,3.5,3.0,3.6,3.0,4.81376,50.11942,12.5,16.0,21.2,41.5,26.9,49.7,-22.800000000000004,205.56372639608887,129.59656950271133
Barbados,Caribbean,Latin America & Caribbean,2005,15202.85,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,5.55673,108.55,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,6204.107159423625,1340.5289653662464
Barbados,Caribbean,Latin America & Caribbean,2010,16568.37,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,5.87482,101.90247,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,4354.510551088235,1141.8708169676495
Belarus,Europe,Europe & Central Asia,2005,9647.12,3.55,4.1,3.6,2.65,3.62,3.95,5.87103,96.59815,13.8,17.8,23.0,36.5,21.8,54.6,-32.8,1727.947420895155,1653.2865510509976
Belarus,Europe,Europe & Central Asia,2009,14050.57,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,4.51673,109.52856,13.8,17.7,22.4,37.0,22.6,53.9,-31.3,3005.812206595492,2241.463186759482
Belarus,Europe,Europe & Central Asia,2010,15361.83,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,5.41014,107.05787,13.4,17.5,22.8,37.5,22.9,53.7,-30.800000000000004,3678.306004026219,2665.953133310192
Belarus,Europe,Europe & Central Asia,2011,16563.2,3.75,4.1875,3.875,2.875,3.7375,4.1875,4.84382,106.30808,13.9,17.8,22.8,36.3,21.9,54.5,-32.6,4836.271723631931,4377.534853090526
Belarus,Europe,Europe & Central Asia,2012,18105.29,3.75,4.25,3.875,3.0,3.75,4.3125,5.12106,107.00487,14.0,17.9,22.5,36.1,21.8,54.4,-32.599999999999994,4912.162040285234,4875.699652243355
Belarus,Europe,Europe & Central Asia,2013,18994.19,3.75,4.1875,3.8125,3.0,3.725,4.3125,5.17594,106.22801,14.0,17.8,22.5,36.2,22.1,54.3,-32.2,4555.937064204115,3939.6594336396806
Belarus,Europe,Europe & Central Asia,2014,19008.0,3.3,4.0,3.5,2.7,3.58,4.0,4.98751,107.0318,14.0,17.7,22.4,36.7,22.6,54.1,-31.499999999999996,4286.637614482276,3818.64629521147
Belgium,Europe,Europe & Central Asia,2005,33177.89,3.55,4.1,3.6,2.65,3.62,3.95,5.769,108.35425,13.6,17.3,22.2,38.2,23.9,53.1,-29.2,30451.1044995728,32035.88584810381
Belgium,Europe,Europe & Central Asia,2006,35256.93,3.45,4.1,3.6,2.65,3.6,4.0,5.84036,108.50358,13.9,17.7,22.7,36.9,22.4,54.3,-31.9,33475.07257945092,34777.86812859892
Belgium,Europe,Europe & Central Asia,2007,36795.85,3.75,4.3125,3.75,2.625,3.7375,4.1875,5.84903,107.87072,13.6,17.4,22.3,38.0,23.5,53.3,-29.8,38871.39673809725,40632.037676388376
Belgium,Europe,Europe & Central Asia,2008,37883.33,3.875,4.375,3.75,2.5625,3.7875,4.3125,6.29139,106.41283,13.9,17.6,22.7,37.2,22.7,54.2,-31.500000000000004,43542.4079861826,44052.19509834432
Belgium,Europe,Europe & Central Asia,2009,37749.91,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,6.41536,105.69595,13.9,17.7,22.7,37.2,22.7,54.3,-31.6,32842.735921099564,34351.820876278995
Belgium,Europe,Europe & Central Asia,2010,39838.04,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.40799,105.78588,13.9,17.8,22.5,37.2,22.7,54.2,-31.500000000000004,25957.74609244789,25214.269810232145
Belgium,Europe,Europe & Central Asia,2011,40942.37,3.75,4.1875,3.875,2.875,3.7375,4.1875,6.37874,106.48113,14.0,18.0,22.7,36.8,22.4,54.7,-32.300000000000004,30947.020326525257,29677.58550228224
Belize,Latin America,Latin America & Caribbean,2010,9623.87,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,6.621,75.35979,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,2193.34278282615,947.1828043501208
Benin,Western Africa,Africa Western and Central,2005,2011.4,4.0,3.0,3.0,3.5,3.2,4.5,3.63079,34.58277,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,110.27728001223154,35.36393318345762
Bhutan,South Asia,South Asia,2005,3968.93,3.5,4.5,4.0,4.0,4.2,3.0,7.0781,45.72123,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,583.442398348919,389.50600235481056
Bhutan,South Asia,South Asia,2010,6504.35,3.5,4.0,4.0,4.5,4.1,3.0,4.02447,66.11239,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,1210.1832871260185,586.0709579938655
