gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
1771.2,2.5,2.0,3.0,2.0,4.51116,53.24683,50.5,13.78106261754305
5865.29,3.5,4.0,3.5,3.0,3.23872,76.88706,52.4,218.5741366308405
6586.47,2.0,3.5,2.5,2.5,3.43897,28.78131,50.5,2251.8275198129104
13513.67,3.777777778,4.0,3.555555556,3.444444444,3.47405,94.00599,44.2,1026.5132277674145
14896.73,3.722222222,4.0,3.611111111,3.444444444,3.65499,93.34507,45.4,1179.07641825332
16510.45,3.777777778,3.833333333,3.666666667,3.444444444,3.89634,93.70675,45.3,1398.821962252036
17336.93,3.666666667,3.833333333,3.666666667,3.444444444,4.33781,95.24628,46.3,1738.57209170068
16249.73,3.611111111,3.777777778,3.611111111,3.5,4.88998,98.83082,47.4,1368.3919005883788
18063.91,3.666666667,3.666666667,3.666666667,3.388888889,4.60637,101.80112,46.900000000000006,1671.4153532373489
19322.23,3.5,3.722222222,3.611111111,3.388888889,4.98631,103.59968,47.3,2011.102635459844
19641.35,3.444444444,3.611111111,3.611111111,3.388888889,5.09904,105.19255,48.5,1916.5135553836649
20131.68,3.444444444,3.555555556,3.611111111,3.5,5.3441,106.32314,48.900000000000006,1799.9454625845335
5339.9,4.0,4.5,4.5,2.5,2.71203,91.05856,47.2,307.4833259277393
6274.03,4.0,4.5,4.5,3.5,2.71577,93.88583,52.2,331.72501210975366
7380.23,4.0,4.5,4.5,3.5,3.01894,94.87297,51.6,373.1943404208437
8097.31,4.0,4.5,4.5,3.0,3.17273,92.70561,52.5,353.6251652046426
7045.33,4.0,4.5,4.5,3.0,3.84079,96.63288,53.1,230.74260262807763
7331.39,4.0,4.5,4.5,3.0,3.249,96.59815,51.5,343.28722465824
33018.16,3.181818182,3.318181818,3.5,2.863636364,4.91266,148.36611,50.5,5254.094777409193
37517.85,3.045454545,3.363636364,3.409090909,3.0,4.63529,128.03405,50.0,8793.414452375358
39363.62,3.045454545,3.363636364,3.727272727,3.0,5.56894,132.4567,50.6,9627.411635299057
6740.42,3.5,4.0,3.5,2.5,2.97462,96.59815,51.4,518.0206041576052
14678.77,4.0,4.0,4.0,2.5,2.78062,98.80386,50.5,2350.081704536569
2074.01,3.5,4.0,3.5,2.5,4.81376,45.51679,48.7,66.22249554138492
2906.05,3.5,4.0,3.5,3.0,4.81376,50.11942,49.7,129.59656950271133
15202.85,3.777777778,4.0,3.555555556,3.444444444,5.55673,108.55,50.5,1340.5289653662464
16568.37,3.666666667,3.666666667,3.666666667,3.388888889,5.87482,101.90247,50.5,1141.8708169676495
9647.12,3.55,4.1,3.6,2.65,5.87103,96.59815,54.6,1653.2865510509976
14050.57,3.777777778,4.277777778,3.777777778,2.611111111,4.51673,109.52856,53.9,2241.463186759482
15361.83,3.777777778,4.277777778,3.833333333,2.666666667,5.41014,107.05787,53.7,2665.953133310192
