%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
18.5,3.5,4.0,3.5,3.0,3.4,4.5,3.23872,76.88706,12.9,17.0,22.5,39.2,24.3,52.4,868.1249535528461,218.5741366308405
9.1,4.0,4.0,4.0,2.5,3.8,3.5,2.78062,98.80386,11.9,16.3,21.9,41.8,27.0,50.400000000000006,728.5790675667736,2350.081704536569
40.0,3.5,4.0,3.5,2.5,3.6,3.0,4.709555,45.51679,12.2,15.6,20.9,42.5,28.0,48.7,89.63376725954721,66.22249554138492
31.5,3.5,4.0,3.5,3.0,3.6,3.0,4.709555,50.11942,12.5,16.0,21.2,41.5,26.9,49.7,205.56372639608887,129.59656950271133
12.7,3.55,4.1,3.6,2.65,3.62,3.95,5.87103,96.83547,13.8,17.8,23.0,36.5,21.8,54.6,1727.947420895155,1653.2865510509976
5.4,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,4.51673,109.52856,13.8,17.7,22.4,37.0,22.6,53.9,3005.812206595492,2241.463186759482
5.2,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,5.41014,107.05787,13.4,17.5,22.8,37.5,22.9,53.7,3678.306004026219,2665.953133310192
7.3,3.75,4.1875,3.875,2.875,3.7375,4.1875,4.84382,106.30808,13.9,17.8,22.8,36.3,21.9,54.5,4836.271723631931,4377.534853090526
6.3,3.75,4.25,3.875,3.0,3.75,4.3125,5.12106,107.00487,14.0,17.9,22.5,36.1,21.8,54.4,4912.162040285234,4875.699652243355
5.5,3.75,4.1875,3.8125,3.0,3.725,4.3125,5.17594,106.22801,14.0,17.8,22.5,36.2,22.1,54.3,4555.937064204115,3939.6594336396806
4.8,3.3,4.0,3.5,2.7,3.58,4.0,4.98751,107.0318,14.0,17.7,22.4,36.7,22.6,54.1,4286.637614482276,3818.64629521147
64.9,3.0,4.0,4.0,2.0,3.6,4.0,5.41475,32.27849,11.0,15.0,20.8,46.3,31.0,46.8,71.10251491269045,20.27166383387209
39.9,3.0,3.0,3.0,2.5,3.1,3.5,3.36625,31.76378,9.5,14.0,21.5,49.1,33.0,45.0,178.9199244614222,231.7634106562036
29.1,3.722222222,4.0,3.611111111,3.444444444,3.5875,4.111111111111111,3.02381,98.33355,8.9,13.0,19.6,53.4,37.9,41.5,2380.6557128029963,3643.5340784966857
25.3,3.611111111,3.777777778,3.611111111,3.5,3.566666667,4.277777777777778,4.24129,94.21283,9.1,13.0,19.3,53.4,38.2,41.400000000000006,2537.0427627049885,3304.148279238649
22.2,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,4.0681,93.78813,9.3,13.2,19.6,52.6,37.3,42.1,4353.071767063149,4766.461429527042
14.4,3.444444444,3.555555556,3.611111111,3.5,3.533333333,4.222222222222222,4.55744,100.45767,9.3,13.2,19.4,52.6,37.4,41.9,4526.545363335823,4401.470207144748
17.2,3.045454545,3.363636364,3.727272727,3.0,3.263636364,3.954545454545455,4.709555,84.92116,9.2,14.3,22.3,49.0,32.6,45.8,1043.5795375348075,1179.4556728785494
24.8,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,6.61588,104.56289,8.2,12.9,20.8,53.9,36.9,41.900000000000006,3902.584137227811,2184.274072923375
23.5,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,6.86298,107.95096,8.4,13.0,20.8,53.6,36.6,42.2,3875.3578333625032,2375.294624849549
23.3,3.444444444,3.555555556,3.611111111,3.5,3.533333333,4.222222222222222,6.92005,114.63662,8.2,12.6,21.0,54.2,37.0,41.8,3782.6018697557256,2394.2355683512696
