%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
18.5,3.5,4.0,3.5,3.0,3.23872,76.88706,52.4,218.5741366308405
9.1,4.0,4.0,4.0,2.5,2.78062,98.80386,50.400000000000006,2350.081704536569
40.0,3.5,4.0,3.5,2.5,4.709555,45.51679,48.7,66.22249554138492
31.5,3.5,4.0,3.5,3.0,4.709555,50.11942,49.7,129.59656950271133
12.7,3.55,4.1,3.6,2.65,5.87103,96.83547,54.6,1653.2865510509976
5.4,3.777777778,4.277777778,3.777777778,2.611111111,4.51673,109.52856,53.9,2241.463186759482
5.2,3.777777778,4.277777778,3.833333333,2.666666667,5.41014,107.05787,53.7,2665.953133310192
7.3,3.75,4.1875,3.875,2.875,4.84382,106.30808,54.5,4377.534853090526
6.3,3.75,4.25,3.875,3.0,5.12106,107.00487,54.4,4875.699652243355
5.5,3.75,4.1875,3.8125,3.0,5.17594,106.22801,54.3,3939.6594336396806
4.8,3.3,4.0,3.5,2.7,4.98751,107.0318,54.1,3818.64629521147
64.9,3.0,4.0,4.0,2.0,5.41475,32.27849,46.8,20.27166383387209
39.9,3.0,3.0,3.0,2.5,3.36625,31.76378,45.0,231.7634106562036
29.1,3.722222222,4.0,3.611111111,3.444444444,3.02381,98.33355,41.5,3643.5340784966857
25.3,3.611111111,3.777777778,3.611111111,3.5,4.24129,94.21283,41.400000000000006,3304.148279238649
22.2,3.5,3.722222222,3.611111111,3.388888889,4.0681,93.78813,42.1,4766.461429527042
14.4,3.444444444,3.555555556,3.611111111,3.5,4.55744,100.45767,41.9,4401.470207144748
17.2,3.045454545,3.363636364,3.727272727,3.0,4.709555,84.92116,45.8,1179.4556728785494
24.8,3.5,3.722222222,3.611111111,3.388888889,6.61588,104.56289,41.900000000000006,2184.274072923375
23.5,3.444444444,3.611111111,3.611111111,3.388888889,6.86298,107.95096,42.2,2375.294624849549
23.3,3.444444444,3.555555556,3.611111111,3.5,6.92005,114.63662,41.8,2394.2355683512696
24.6,3.444444444,3.5,3.611111111,3.5,7.01164,120.32665,41.900000000000006,2320.807731703813
20.6,3.777777778,4.277777778,3.777777778,2.611111111,4.38925,100.62829,53.3,2437.025411010594
20.9,3.777777778,4.277777778,3.833333333,2.666666667,4.25217,100.71391,53.8,2749.593053496195
20.4,3.75,4.1875,3.875,2.875,4.15795,99.88217,53.8,3121.9814410148806
15.6,3.55,4.1,3.6,2.65,6.34274,96.54328,51.8,1491.109899890267
15.5,3.45,4.1,3.6,2.65,6.39555,96.59815,51.1,1340.5484756091785
15.9,3.75,4.3125,3.75,2.625,6.34744,97.77915,51.2,1384.1602135448047
15.8,3.875,4.375,3.75,2.5625,6.80899,98.32904,50.7,1568.409962559159
15.6,3.777777778,4.277777778,3.777777778,2.611111111,7.30415,98.38756,50.8,1216.0039838916125
14.8,3.777777778,4.277777778,3.833333333,2.666666667,6.66191,91.4408,51.0,1333.5191840918626
14.7,3.75,4.1875,3.875,2.875,6.64467,92.82562,50.3,1707.0948234455752
32.8,3.666666667,3.666666667,3.666666667,3.388888889,4.07574,83.51436,41.9,1166.8049339591455
28.6,3.5,3.722222222,3.611111111,3.388888889,4.31455,83.46509,44.6,1466.2634686089684
27.3,3.444444444,3.611111111,3.611111111,3.388888889,4.1657,85.45839,44.6,1540.4415504172953
29.6,3.5,3.0,4.5,2.5,4.49659,34.80822,50.2,14.915982176990465
12.6,3.55,4.1,3.6,2.65,6.03606,111.97108,53.3,12435.593316248884
13.0,3.45,4.1,3.6,2.65,5.9381,111.61355,53.4,14674.358191037752
13.6,3.75,4.3125,3.75,2.625,5.68609,110.32909,53.2,16979.32295073288
13.8,3.875,4.375,3.75,2.5625,5.84677,108.74427,53.400000000000006,18236.174342826504
13.1,3.777777778,4.277777778,3.777777778,2.611111111,6.48518,107.4238,53.8,11774.11526556832
13.7,3.777777778,4.277777778,3.833333333,2.666666667,6.54071,107.27259,53.8,13073.261176033197
13.2,3.75,4.1875,3.875,2.875,6.48201,107.47822,53.6,14623.281453497522
11.8,3.75,4.25,3.875,3.0,7.19254,107.4859,53.9,13478.921321152256
12.8,3.75,4.1875,3.8125,3.0,7.17948,143.21856,54.1,13687.400052252522
36.9,4.5,4.5,4.5,3.5,3.00364,83.48521,50.2,240.9937103563161
38.8,5.0,4.5,4.5,3.0,2.69687,89.8833,49.2,319.2514741624566
34.9,5.5,4.5,4.5,3.0,2.91956,90.65106,48.900000000000006,389.1137957135459
34.9,5.5,4.5,4.5,3.0,3.22238,88.10632,49.2,297.19581592897896
31.9,4.0,4.0,4.0,3.5,7.42208,47.34028,46.2,136.00702828574416
24.2,4.5,4.0,3.5,4.0,7.91914,58.13869,46.3,586.8172197959087
20.5,3.55,4.1,3.6,2.65,3.96396,99.64309,51.4,1586.779683460398
